Tanggal;Waktu;USD/oz;USD/gr;Kurs (IDR/USD);IDR/gr
2021-08-05;00:00;1.811,69;58,25;14.362,00;836.546,09
2021-08-05;00:30;1.811,76;58,25;14.362,00;836.578,41
2021-08-05;01:00;1.812,68;58,28;14.362,00;837.003,22
2021-08-05;01:30;1.811,85;58,25;14.362,00;836.619,97
2021-08-05;02:00;1.810,89;58,22;14.362,00;836.176,69
2021-08-05;02:30;1.811,80;58,25;14.362,00;836.596,88
2021-08-05;03:00;1.812,10;58,26;14.362,00;836.735,40
2021-08-05;03:30;1.812,12;58,26;14.362,00;836.744,64
2021-08-05;04:00;1.811,86;58,25;14.362,00;836.624,58
2021-08-05;04:30;1.811,90;58,25;14.362,00;836.643,05
2021-08-05;05:00;1.811,90;58,25;14.362,00;836.643,05
2021-08-05;05:30;1.811,54;58,24;14.362,00;836.476,82
2021-08-05;06:00;1.812,01;58,26;14.362,00;836.693,85
2021-08-05;06:30;1.811,83;58,25;14.362,00;836.610,73
2021-08-05;07:00;1.811,65;58,25;14.362,00;836.527,62
2021-08-05;07:30;1.811,17;58,23;14.362,00;836.305,98
2021-08-05;08:00;1.809,93;58,19;14.362,00;835.733,41
2021-08-05;08:30;1.811,51;58,24;14.324,00;834.249,80
2021-08-05;09:00;1.810,89;58,22;14.324,00;833.964,27
2021-08-05;09:30;1.809,71;58,18;14.324,00;833.420,85
2021-08-05;10:00;1.810,33;58,20;14.324,00;833.706,38
2021-08-05;10:30;1.811,67;58,25;14.324,00;834.323,48
2021-08-05;11:00;1.810,98;58,22;14.324,00;834.005,72
2021-08-05;11:30;1.811,07;58,23;14.324,00;834.047,17
2021-08-05;12:00;1.811,18;58,23;14.324,00;834.097,82
2021-08-05;12:30;1.810,62;58,21;14.324,00;833.839,93
2021-08-05;13:00;1.808,91;58,16;14.324,00;833.052,43
2021-08-05;13:30;1.810,51;58,21;14.324,00;833.789,27
2021-08-05;14:00;1.810,00;58,19;14.324,00;833.554,40
2021-08-05;14:30;1.810,70;58,22;14.324,00;833.876,77
2021-08-05;15:00;1.813,87;58,32;14.324,00;835.336,64
2021-08-05;15:30;1.810,25;58,20;14.324,00;833.669,53
2021-08-05;16:00;1.810,74;58,22;14.324,00;833.895,19
2021-08-05;16:30;1.811,26;58,23;14.324,00;834.134,67
2021-08-05;17:00;1.810,28;58,20;14.324,00;833.683,35
2021-08-05;17:30;1.812,53;58,27;14.324,00;834.719,54
2021-08-05;18:00;1.813,07;58,29;14.324,00;834.968,22
2021-08-05;18:30;1.813,94;58,32;14.324,00;835.368,88
2021-08-05;19:00;1.813,08;58,29;14.324,00;834.972,83
2021-08-05;19:30;1.809,46;58,18;14.324,00;833.305,72
2021-08-05;20:00;1.810,66;58,21;14.324,00;833.858,35
2021-08-05;20:30;1.809,26;58,17;14.324,00;833.213,61
2021-08-05;21:00;1.801,17;57,91;14.324,00;829.487,95
2021-08-05;21:30;1.804,00;58,00;14.324,00;830.791,24
2021-08-05;22:00;1.801,93;57,93;14.324,00;829.837,95
2021-08-05;22:30;1.802,58;57,95;14.324,00;830.137,29
2021-08-05;23:00;1.803,91;58,00;14.324,00;830.749,79
2021-08-05;23:30;1.806,05;58,07;14.324,00;831.735,32
